Number of samples:   11392
Sample interval:     0.01 seconds
Total sampling time: 113.92 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 122     17   0.1     17   0.1   7716  67.7        -  (FLET "CLEANUP-FUN-69" :IN SB-THREAD::CALL-WITH-RECURSIVE-SYSTEM-LOCK)
 123     17   0.1     17   0.1   7733  67.9        -  SB-C::MAKE-BLOCK-KEY
 124     17   0.1     17   0.1   7750  68.0        -  SB-C::NODE-ENCLOSING-CLEANUP
 125     17   0.1     17   0.1   7767  68.2        -  SB-C::CONSET=
 126     16   0.1    150   1.3   7783  68.3        -  SB-C::CHANGE-REF-LEAF
 127     16   0.1    100   0.9   7799  68.5        -  SB-C::MOVE-RETURN-STUFF
 128     16   0.1     72   0.6   7815  68.6        -  SB-C::CONSTANT-LVAR-P
 129     16   0.1     59   0.5   7831  68.7        -  SB-INT:CHECK-LAMBDA-LIST-NAMES
 130     16   0.1     17   0.1   7847  68.9        -  IMAGPART
 131     16   0.1     16   0.1   7863  69.0        -  SB-C::NODE-COMPONENT
 132     15   0.1    664   5.8   7878  69.2        -  SB-C::IR1-CONVERT-COMBINATION-ARGS
 133     15   0.1    123   1.1   7893  69.3        -  SB-C::FIND-OR-CREATE-CONSTRAINT
 134     15   0.1     66   0.6   7908  69.4        -  VALID-INDEX-P
 135     15   0.1     30   0.3   7923  69.5        -  SB-REGALLOC::RESET-INTERFERENCE-GRAPH-WITHOUT-VERTEX
 136     15   0.1     28   0.2   7938  69.7        -  SB-IMPL::%MAP-FOR-EFFECT
 137     15   0.1     15   0.1   7953  69.8        -  SB-C::MAKE-RETURN
 138     15   0.1     15   0.1   7968  69.9        -  SB-C::LEXENV-POLICY
 139     15   0.1     15   0.1   7983  70.1        -  SB-IMPL::GETHASH3
 140     15   0.1     15   0.1   7998  70.2        -  (LABELS SB-C::PROBABLY-LL-KEYWORD-P :IN SB-INT:PARSE-LAMBDA-LIST)
 141     15   0.1     15   0.1   8013  70.3        -  SB-KERNEL:%ASSOC-EQ
 142     14   0.1   2238  19.6   8027  70.5        -  SB-C::%WITH-IR1-ENVIRONMENT-FROM-NODE
 143     14   0.1    638   5.6   8041  70.6        -  SB-C::IR1-CONVERT-COMBINATION
 144     14   0.1     92   0.8   8055  70.7        -  SB-C::IR2-CONVERT-BLOCK
 145     14   0.1     68   0.6   8069  70.8        -  SB-C::IS-OK-TEMPLATE-USE
 146     14   0.1     40   0.4   8083  71.0        -  SB-C::TEMPLATE-ARGS-OK
 147     14   0.1     25   0.2   8097  71.1        -  SB-C::UNLINK-BLOCKS
 148     14   0.1     25   0.2   8111  71.2        -  SB-C::DELETE-LAMBDA-VAR
 149     14   0.1     25   0.2   8125  71.3        -  SB-C::%COERCE-TO-POLICY
 150     14   0.1     20   0.2   8139  71.4        -  SB-C::LVAR-FUN-NAME
 151     14   0.1     16   0.1   8153  71.6        -  SB-C::CONSET-ADJOIN
 152     14   0.1     15   0.1   8167  71.7        -  SB-KERNEL:TWO-ARG--
 153     14   0.1     14   0.1   8181  71.8        -  SB-C:MAKE-TN-REF
 154     14   0.1     14   0.1   8195  71.9        -  REALPART
 155     14   0.1     14   0.1   8209  72.1        -  EQL
 156     14   0.1     14   0.1   8223  72.2        -  SB-REGALLOC::INIT-SB-VECTORS
 157     13   0.1    134   1.2   8236  72.3        -  SB-C::IR1-CONVERT-VAR
 158     13   0.1     92   0.8   8249  72.4        -  SB-REGALLOC::INSERT-ONE-EDGE
 159     13   0.1     37   0.3   8262  72.5        -  (LABELS SB-C::PASS :IN SB-C::SELECT-REPRESENTATIONS)
 160     13   0.1     24   0.2   8275  72.6        -  (LABELS SB-C::WALK :IN SB-C::DEBUG-NAME)
 161     13   0.1     13   0.1   8288  72.8        -  SB-KERNEL:TYPE-INTERSECTION
 162     13   0.1     13   0.1   8301  72.9        -  SB-C::MAKE-TN
 163     13   0.1     13   0.1   8314  73.0        -  SB-C::FLUSH-NODE
 164     13   0.1     13   0.1   8327  73.1        -  SB-REGALLOC::PARTITION-AND-ORDER-VERTICES
 165     12   0.1    392   3.4   8339  73.2        -  SB-C::MAYBE-LET-CONVERT
 166     12   0.1    126   1.1   8351  73.3        -  SB-C::MAKE-LAMBDA-VARS
 167     12   0.1    105   0.9   8363  73.4        -  SB-C::CALL-WITH-CURRENT-SOURCE-FORM
 168     12   0.1     74   0.6   8375  73.5        -  SB-ASSEM::%ASSEMBLE-SECTIONS
 169     12   0.1     48   0.4   8387  73.6        -  SXHASH
 170     12   0.1     16   0.1   8399  73.7        -  SB-C::%LVAR-DERIVED-TYPE
 171     12   0.1     12   0.1   8411  73.8        -  SB-C::ADD-LVAR-USE
 172     12   0.1     12   0.1   8423  73.9        -  SB-C::GET-SOURCE-PATH
 173     12   0.1     12   0.1   8435  74.0        -  "foreign function arch_set_fp_modes"
