Number of samples:   11203
Sample interval:     0.01 seconds
Total sampling time: 112.03 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  97     21   0.2     47   0.4   7054  63.0        -  SB-C::PROPAGATE-LIVE-TNS
  98     21   0.2     31   0.3   7075  63.2        -  SB-C::%COERCE-TO-POLICY
  99     21   0.2     27   0.2   7096  63.3        -  (LABELS SB-KERNEL::RECURSE :IN SB-KERNEL:%%TYPEP)
 100     21   0.2     21   0.2   7117  63.5        -  SB-C::BLOCK-HOME-LAMBDA-OR-NULL
 101     21   0.2     21   0.2   7138  63.7        -  SB-KERNEL:%ASSOC-EQ
 102     20   0.2     43   0.4   7158  63.9        -  SB-KERNEL::%COERCE-TO-VALUES
 103     20   0.2     32   0.3   7178  64.1        -  SB-REGALLOC::RESET-INTERFERENCE-GRAPH-WITHOUT-VERTEX
 104     20   0.2     30   0.3   7198  64.3        -  (LABELS SB-IMPL::S :IN NSUBST)
 105     20   0.2     25   0.2   7218  64.4        -  SB-KERNEL::%MAKE-NUMERIC-TYPE
 106     20   0.2     20   0.2   7238  64.6        -  SB-INT:COPY-SSET
 107     19   0.2    176   1.6   7257  64.8        -  SB-C::JOIN-SUCCESSOR-IF-POSSIBLE
 108     19   0.2    119   1.1   7276  64.9        -  SB-C::IR1-CONVERT-VAR
 109     19   0.2     99   0.9   7295  65.1        -  SB-C::SUBSTITUTE-SINGLE-USE-LVAR
 110     19   0.2     33   0.3   7314  65.3        -  SB-C::UNLINK-BLOCKS
 111     19   0.2     24   0.2   7333  65.5        -  SB-KERNEL:MAKE-NUMERIC-TYPE
 112     19   0.2     19   0.2   7352  65.6        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;BRAID.LISP")
 113     19   0.2     19   0.2   7371  65.8        -  SB-C::MAKE-BLOCK
 114     19   0.2     19   0.2   7390  66.0        -  SB-KERNEL:TYPE-INTERSECTION
 115     19   0.2     19   0.2   7409  66.1        -  SB-KERNEL::CANONICALIZE-ARGS-TYPE-ARGS
 116     19   0.2     19   0.2   7428  66.3        -  SB-C::NCONC-NEW
 117     18   0.2    176   1.6   7446  66.5        -  SB-KERNEL::SIMPLIFY-INTERSECTIONS
 118     18   0.2     96   0.9   7464  66.6        -  SB-REGALLOC::INSERT-ONE-EDGE
 119     18   0.2     91   0.8   7482  66.8        -  SB-C::CONSTANT-LVAR-P
 120     18   0.2     18   0.2   7500  66.9        -  SB-C::MAKE-BLOCK-KEY
 121     18   0.2     18   0.2   7518  67.1        -  SB-KERNEL:MAKE-SINGLE-VALUE-TYPE
 122     17   0.2   1996  17.8   7535  67.3        -  SB-C::IR1-CONVERT-LAMBDA
 123     17   0.2    162   1.4   7552  67.4        -  SB-C::CHANGE-REF-LEAF
 124     17   0.2     22   0.2   7569  67.6        -  SB-KERNEL::%MAKE-VALUES-TYPE
 125     17   0.2     17   0.2   7586  67.7        -  SB-C::LEAF-HAS-SOURCE-NAME-P
 126     17   0.2     17   0.2   7603  67.9        -  (FLET "CLEANUP-FUN-69" :IN SB-THREAD::CALL-WITH-RECURSIVE-SYSTEM-LOCK)
 127     17   0.2     17   0.2   7620  68.0        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/4
 128     17   0.2     17   0.2   7637  68.2        -  SB-C::%MAKE-CAST
 129     17   0.2     17   0.2   7654  68.3        -  SB-REGALLOC::INIT-SB-VECTORS
 130     17   0.2     17   0.2   7671  68.5        -  SB-C::MAKE-RETURN
 131     16   0.1    108   1.0   7687  68.6        -  SB-C::FIND-OR-CREATE-CONSTRAINT
 132     16   0.1     41   0.4   7703  68.8        -  SB-C::LINK-BLOCKS
 133     16   0.1     34   0.3   7719  68.9        -  SB-C::COMPILER-VALUES-SPECIFIER-TYPE
 134     16   0.1     20   0.2   7735  69.0        -  SB-KERNEL:TWO-ARG--
 135     16   0.1     19   0.2   7751  69.2        -  SB-VM::PRIMITIVE-TYPE-AUX
 136     16   0.1     16   0.1   7767  69.3        -  SB-C::PRINCIPAL-LVAR-USE
 137     15   0.1    323   2.9   7782  69.5        -  SB-C::MAP-COMBINATION-ARG-VAR
 138     15   0.1    160   1.4   7797  69.6        -  SB-C::BLOCK-HOME-LAMBDA
 139     15   0.1     71   0.6   7812  69.7        -  SB-C::IS-OK-TEMPLATE-USE
 140     15   0.1     57   0.5   7827  69.9        -  SB-C::SSET-INTERSECTION
 141     15   0.1     18   0.2   7842  70.0        -  SB-KERNEL::INTEGER-/-INTEGER
 142     15   0.1     16   0.1   7857  70.1        -  NSUBSTITUTE
 143     15   0.1     15   0.1   7872  70.3        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;BRAID.LISP")
 144     15   0.1     15   0.1   7887  70.4        -  REALPART
 145     15   0.1     15   0.1   7902  70.5        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/3
 146     14   0.1    201   1.8   7916  70.7        -  SB-C::MAP-COMBINATION-ARGS-AND-TYPES
 147     14   0.1     75   0.7   7930  70.8        -  SB-C::IR1-CONVERT-FUNCTOID
 148     14   0.1     71   0.6   7944  70.9        -  SB-C::PROPAGATE-COPIES
 149     14   0.1     28   0.2   7958  71.0        -  (LABELS SB-C::WALK :IN SB-C::DEBUG-NAME)
 150     14   0.1     22   0.2   7972  71.2        -  SB-INT:VALID-FUNCTION-NAME-P
 151     14   0.1     19   0.2   7986  71.3        -  SB-IMPL::NLIST-SUBSTITUTE*
 152     14   0.1     18   0.2   8000  71.4        -  CL-QUIL.CLIFFORD::INCURRED-PHASE-FROM-ROW-PRODUCT
 153     14   0.1     14   0.1   8014  71.5        -  EQL
 154     14   0.1     14   0.1   8028  71.7        -  SB-C::LEXENV-POLICY
 155     14   0.1     14   0.1   8042  71.8        -  "foreign function arch_set_fp_modes"
 156     14   0.1     14   0.1   8056  71.9        -  SB-C::BLOCK-OUT-FOR-SUCCESSOR
 157     13   0.1    260   2.3   8069  72.0        -  (LAMBDA (SB-C::ARG SB-C::VAR TYPE) :IN SB-C::PROPAGATE-LET-ARGS)
 158     13   0.1     92   0.8   8082  72.1        -  SB-C::MOVE-RETURN-STUFF
 159     13   0.1     46   0.4   8095  72.3        -  SB-C::IR1-MERGE-CASTS
 160     13   0.1     45   0.4   8108  72.4        -  SB-C::REFERENCE-CONSTANT
 161     13   0.1     25   0.2   8121  72.5        -  SB-KERNEL:LIST-SUBSEQ*
 162     13   0.1     13   0.1   8134  72.6        -  SB-C::GENERATE-TYPE-CHECKS
 163     13   0.1     13   0.1   8147  72.7        -  SB-C::MAKE-GLOBAL-CONFLICTS
 164     13   0.1     13   0.1   8160  72.8        -  SB-C::PRINCIPAL-LVAR
 165     12   0.1    123   1.1   8172  72.9        -  SB-C::MAKE-LAMBDA-VARS
 166     12   0.1     26   0.2   8184  73.1        -  SB-INT:PROPER-LIST-P
 167     12   0.1     18   0.2   8196  73.2        -  VALID-SHAPE-P
 168     12   0.1     12   0.1   8208  73.3        -  SB-KERNEL:%MEMBER-EQ
 169     12   0.1     12   0.1   8220  73.4        -  SB-IMPL::GETHASH3
 170     12   0.1     12   0.1   8232  73.5        -  SB-C::MAKE-COMBINATION
 171     12   0.1     12   0.1   8244  73.6        -  SB-KERNEL:%MEMBER
 172     12   0.1     12   0.1   8256  73.7        -  SB-C::MAYBE-TERMINATE-BLOCK
 173     11   0.1   1640  14.6   8267  73.8        -  SB-C::IR1-CONVERT-AUX-BINDINGS
 174     11   0.1    230   2.1   8278  73.9        -  SB-KERNEL::ARGS-TYPE-OP
 175     11   0.1    211   1.9   8289  74.0        -  SB-C::ASSERT-LVAR-TYPE
 176     11   0.1    129   1.2   8300  74.1        -  SB-REGALLOC::RESTRICTED-TN-LOCATIONS
 177     11   0.1    117   1.0   8311  74.2        -  SB-C::CALL-WITH-CURRENT-SOURCE-FORM
 178     11   0.1     52   0.5   8322  74.3        -  SB-C::ENSURE-SOURCE-PATH
 179     11   0.1     28   0.2   8333  74.4        -  SB-KERNEL::%TYPE-UNION
 180     11   0.1     28   0.2   8344  74.5        -  CL-QUIL.CLIFFORD::ROW-PRODUCT
 181     11   0.1     26   0.2   8355  74.6        -  SB-C::DELETE-LAMBDA-VAR
 182     11   0.1     25   0.2   8366  74.7        -  SB-C::INIT-COPY-SETS
 183     11   0.1     19   0.2   8377  74.8        -  SB-C::CONFLICT-ANALYZE-1-BLOCK
 184     11   0.1     17   0.2   8388  74.9        -  SB-C::%LVAR-DERIVED-TYPE
 185     11   0.1     16   0.1   8399  75.0        -  SB-KERNEL:%MAKE-ARRAY
 186     11   0.1     11   0.1   8410  75.1        -  LENGTH
 187     11   0.1     11   0.1   8421  75.2        -  ASH
 188     11   0.1     11   0.1   8432  75.3        -  SB-C::BLOCK-START-NODE
 189     10   0.1    752   6.7   8442  75.4        -  SB-C::LOCALL-ANALYZE-COMPONENT
 190     10   0.1    140   1.2   8452  75.4        -  SB-REGALLOC::PREPARE-VERTICES
 191     10   0.1     78   0.7   8462  75.5        -  SB-REGALLOC::INSERT-BLOCK-LOCAL-CONFLICTS-FOR
 192     10   0.1     43   0.4   8472  75.6        -  SB-C::SUBSTITUTE-LVAR
 193     10   0.1     17   0.2   8482  75.7        -  SB-C::REMOVE-EQUIVALENT-BLOCKS
 194     10   0.1     14   0.1   8492  75.8        -  SB-KERNEL:TWO-ARG-<
 195     10   0.1     14   0.1   8502  75.9        -  FIND
